N,P,K,temperature,humidity,ph,rainfall,label
23.31,7.18,12.17,29.54,90.76,7.29,118.35,orange
39.78,22.24,35.75,21.91,88.04,6.09,100.06,pomegranate
18.55,63.7,19.5,22.49,24.51,6.12,91.71,kidneybeans
96.33,26.3,49.97,25.08,62.4,6.17,42.52,watermelon
25.49,52.42,24.36,30.36,82.22,7.21,63.76,mungbean
38.56,58.33,24.28,33.68,67.08,6.61,83.28,blackgram
82.94,53.96,39.48,22.05,79.93,6.51,270.28,rice
63.11,64.23,44.86,24.89,83.04,5.96,277.66,rice
101.42,64.92,23.73,23.49,77.57,6.07,77.81,cotton
122.39,42.41,24.77,25.98,79.13,5.73,99.27,cotton
35.37,74.45,22.61,21.57,33.54,6.6,130.52,pigeonpeas
20.08,12.36,26.82,29.92,92.57,6.26,104.3,orange
58.87,67.82,17.91,29.69,68.58,6.8,65.78,blackgram
25.14,70.17,16.67,27.57,67.2,5.63,58.55,lentil
91.34,98.45,53.42,28.61,75.78,5.61,154.06,banana
28.68,25.32,33.6,29.52,59.72,6.03,91.74,mango
87.33,32.66,23.51,22.46,64.61,6.68,101.23,maize
16.2,142.05,198.89,22.94,90.7,5.5,107.36,apple
11.56,10.38,45.91,21.34,86.31,6.24,137.3,pomegranate
38.01,28.56,30.27,28.41,45.01,6.53,63.5,mango
120.67,41.4,20.36,26.18,81.16,6.45,87.05,cotton
37.98,35.6,16.54,31.43,81.88,6.85,56.58,mungbean
32.43,71.22,17.75,20.97,55.44,6.3,109.73,pigeonpeas
45.37,72.01,75.83,15.85,25.74,6.14,62.85,chickpea
31.97,141.84,198.65,22.06,93.82,6.08,102.13,apple
110.83,17.76,25.27,24.37,55.39,7.23,185.53,coffee
33.41,77.07,17.03,29.16,58.05,6.54,134.9,pigeonpeas
81.82,40.4,38.47,27.66,72.92,6.95,179.65,jute
62.4,49.64,42.74,23.76,82.23,6.36,193.37,jute
71.04,45.52,37.17,25.93,76.96,6.99,150.78,jute
47.31,50.81,51.17,33.69,94.96,6.98,179.71,papaya
20.04,66.37,22.53,19.59,65.47,6.32,43.58,lentil
28.2,131.94,202.76,30.72,85.54,6.49,74.65,grapes
98.5,42.55,39.97,22.11,79.27,5.56,253.15,rice
30.7,29.29,7.09,32.53,90.63,6.79,117.03,orange
18.5,47.01,23.12,27.07,84.74,7.0,59.97,mungbean
38.01,36.68,27.34,34.78,54.13,6.93,74.94,mango
31.29,73.46,18.16,21.45,21.95,6.21,77.93,kidneybeans
33.45,142.58,194.92,29.42,82.75,6.32,60.11,grapes
19.47,36.71,22.67,30.51,79.97,7.01,49.9,mungbean
28.26,28.76,29.97,19.3,91.49,7.72,119.97,orange
32.63,66.38,21.68,33.91,36.79,4.56,175.7,pigeonpeas
94.6,82.97,51.23,25.37,80.04,5.68,164.62,banana
99.2,49.78,38.29,24.43,78.6,5.61,195.47,rice
23.86,57.63,17.22,27.87,54.31,5.24,96.35,pigeonpeas
31.08,38.68,40.63,20.8,94.54,6.64,111.93,pomegranate
80.42,36.54,29.51,23.02,58.03,6.28,181.22,coffee
89.5,17.74,45.38,29.92,87.3,6.15,29.81,muskmelon
23.53,74.42,23.48,26.82,64.3,6.67,81.2,blackgram
65.22,53.08,49.64,31.72,90.75,6.96,128.95,papaya
65.13,63.83,50.53,30.61,91.83,6.88,48.63,papaya
31.81,39.42,33.11,19.58,87.12,6.79,107.48,pomegranate
36.07,62.83,22.89,23.92,22.34,6.41,93.96,kidneybeans
32.98,65.04,91.0,17.04,23.33,7.47,84.64,chickpea
15.7,36.17,18.92,31.01,80.12,6.67,56.89,mungbean
37.53,61.62,21.25,31.04,76.04,6.5,47.84,mungbean
24.82,17.96,25.14,30.03,55.47,6.48,71.83,mango
36.76,70.79,20.33,20.19,54.23,4.85,127.09,pigeonpeas
106.72,31.56,45.73,31.11,89.93,6.85,29.01,muskmelon
27.54,35.41,34.88,30.89,45.71,6.5,84.18,mango
23.32,50.96,23.74,31.96,47.48,8.7,48.17,mothbeans
30.62,69.29,23.33,35.22,30.49,6.52,95.7,pigeonpeas
88.44,38.6,45.54,30.55,90.32,6.48,23.35,muskmelon
66.97,55.73,38.87,26.56,77.06,6.01,193.62,rice
31.29,10.22,40.36,18.26,90.69,6.92,138.74,pomegranate
95.02,23.68,48.44,30.47,92.6,6.85,34.59,muskmelon
36.47,73.71,19.39,29.6,36.41,6.52,109.72,pigeonpeas
28.88,127.18,208.8,23.81,94.86,5.54,108.55,apple
24.5,64.61,22.55,28.24,83.08,7.49,61.44,mungbean
64.54,55.15,40.2,25.41,82.8,6.78,246.23,rice
16.26,56.82,19.03,17.95,20.32,5.78,132.31,kidneybeans
34.38,134.36,203.91,24.62,93.56,5.87,121.39,apple
70.61,42.32,44.73,22.75,88.38,6.45,275.38,rice
38.34,27.23,28.42,36.24,45.37,5.95,81.96,mango
58.9,68.52,51.63,41.3,94.14,6.36,172.03,papaya
29.79,55.64,16.2,31.51,35.44,7.49,45.57,mothbeans
138.8,54.03,22.64,22.42,76.61,6.6,81.57,cotton
24.53,11.91,41.03,23.89,94.97,6.43,112.81,pomegranate
32.61,65.57,18.47,25.55,40.57,5.12,143.13,pigeonpeas
37.48,55.01,50.77,40.95,94.87,6.44,53.3,papaya
23.01,76.67,23.94,29.04,60.95,6.32,69.62,lentil
73.91,53.73,20.66,20.4,72.57,7.09,92.92,maize
45.22,56.04,77.97,24.87,29.48,6.01,98.07,chickpea
87.27,22.42,47.33,29.46,93.72,6.71,28.7,muskmelon
105.17,63.38,22.12,25.71,79.99,6.21,65.5,cotton
37.26,56.99,22.31,16.87,26.58,6.32,108.67,kidneybeans
49.74,79.99,75.96,24.77,21.1,7.74,91.3,chickpea
12.38,51.98,24.08,28.98,79.44,6.22,43.79,mungbean
119.17,16.84,27.84,24.21,54.97,6.57,190.91,coffee
106.76,35.81,30.74,25.33,62.73,6.45,159.13,coffee
18.01,16.0,24.9,25.24,90.55,7.26,103.73,orange
106.29,16.05,45.78,30.3,70.89,6.16,57.09,watermelon
22.87,23.96,14.3,16.1,93.65,6.84,119.63,orange
14.64,125.8,198.16,32.19,82.5,6.14,77.55,grapes
119.26,32.79,29.18,26.49,69.99,7.07,188.08,coffee
25.81,55.78,17.6,18.64,65.17,5.23,151.31,pigeonpeas
16.58,25.72,31.52,34.27,45.01,6.84,66.58,mango
21.18,138.29,198.79,21.49,92.28,5.57,123.96,apple
13.1,25.79,27.3,32.16,48.8,6.85,96.24,mango
21.38,37.33,42.31,20.88,94.34,6.05,108.41,pomegranate
88.2,32.89,33.09,25.26,60.13,6.05,153.47,coffee
20.12,69.78,16.86,24.3,64.2,5.12,97.83,pigeonpeas
98.87,21.72,25.56,25.04,51.05,6.83,165.36,coffee
29.5,132.88,209.12,15.08,82.48,6.43,78.64,grapes
132.19,57.09,24.25,24.23,76.73,5.57,72.32,cotton
13.4,27.11,47.24,21.34,94.95,6.68,102.96,pomegranate
44.49,60.37,54.77,25.34,91.06,6.47,253.1,papaya
28.11,125.72,192.43,21.82,91.28,6.01,128.99,apple
33.35,69.48,23.89,30.69,66.32,7.02,61.53,blackgram
35.96,75.13,23.23,35.72,51.77,5.1,157.85,pigeonpeas
80.72,19.39,53.2,28.43,61.26,6.29,45.96,watermelon
66.03,59.06,47.52,43.05,92.42,6.33,79.93,papaya
21.57,55.55,22.74,26.34,64.68,7.11,72.85,blackgram
36.41,125.18,198.24,15.89,84.98,6.05,71.18,grapes
21.58,70.46,22.81,26.44,68.34,5.58,69.9,lentil
87.84,47.27,36.73,21.1,78.75,6.32,265.75,rice
97.11,32.54,29.35,25.09,65.2,6.26,166.93,coffee
69.59,56.75,47.56,41.72,92.46,6.6,61.05,papaya
49.53,68.64,76.25,20.13,27.1,6.92,62.08,chickpea
113.92,38.01,29.49,25.68,64.84,7.04,194.53,coffee
81.7,46.13,41.97,25.38,86.72,7.02,184.23,jute
14.89,42.01,15.24,30.68,59.24,4.37,45.79,mothbeans
35.7,21.88,33.98,20.97,88.86,6.92,130.48,pomegranate
37.28,69.37,51.81,31.77,93.51,6.76,211.59,papaya
21.71,62.19,21.57,36.4,54.15,4.73,98.31,pigeonpeas
32.36,121.39,195.69,24.1,90.4,6.36,102.76,apple
31.85,61.5,18.45,24.17,20.91,5.97,140.11,kidneybeans
19.29,20.42,18.35,15.46,90.82,6.47,110.05,orange
32.62,52.34,24.04,30.54,52.71,3.86,40.17,mothbeans
81.95,55.76,41.52,21.57,85.68,5.86,219.05,rice
29.46,63.64,16.51,29.39,84.03,6.87,50.04,mungbean
85.47,38.27,52.55,25.66,58.44,6.81,53.91,watermelon
10.3,12.54,46.15,23.4,94.15,6.85,127.33,pomegranate
11.3,29.36,25.17,29.74,93.69,5.52,198.92,coconut
12.25,7.76,28.84,29.7,96.93,6.8,166.65,coconut
97.8,64.6,35.45,23.75,78.47,6.28,168.19,jute
36.84,18.03,38.21,24.29,93.96,6.69,134.36,pomegranate
39.7,66.35,21.88,16.41,22.86,5.53,105.49,kidneybeans
30.32,47.85,22.31,30.6,34.39,8.83,53.51,mothbeans
88.77,38.8,35.49,27.39,71.6,6.22,151.11,jute
30.52,60.03,18.95,15.39,22.76,6.04,80.5,kidneybeans
69.7,43.08,38.77,20.14,79.83,5.82,219.3,rice
24.64,60.83,23.13,25.06,62.11,5.86,65.12,lentil
56.82,53.94,53.44,32.52,93.63,6.1,127.13,papaya
30.58,38.46,35.36,23.68,85.55,6.54,102.82,pomegranate
28.1,14.73,18.94,24.42,90.83,6.81,106.87,orange
59.05,74.97,80.86,24.8,24.03,7.16,89.92,chickpea
63.56,43.15,42.68,27.26,85.58,6.95,175.7,jute
36.81,32.7,36.64,23.21,86.52,6.13,113.83,pomegranate
122.3,54.32,21.13,25.6,81.43,6.28,94.09,cotton
21.93,64.21,20.44,26.2,51.28,5.24,62.61,mothbeans
25.27,60.84,23.66,27.05,86.67,6.69,64.72,mungbean
20.39,132.91,204.19,29.65,83.57,6.08,66.85,grapes
29.07,45.68,16.49,29.98,87.22,6.57,43.31,mungbean
27.02,62.15,21.4,21.77,69.58,5.55,63.19,lentil
113.86,58.23,17.62,23.64,76.08,6.9,74.55,cotton
37.88,68.33,16.58,21.96,25.93,5.82,137.15,kidneybeans
34.04,25.26,27.3,31.06,57.39,5.07,80.98,mango
80.09,19.11,46.09,29.36,91.77,6.87,31.24,muskmelon
37.95,62.0,23.58,17.92,27.11,6.25,132.44,kidneybeans
29.93,10.35,15.82,14.94,92.74,6.23,100.46,orange
21.51,58.99,16.6,19.34,37.43,6.49,186.99,pigeonpeas
85.54,43.92,17.74,26.86,63.19,7.29,71.5,maize
81.77,63.69,43.87,23.85,79.46,7.46,168.62,jute
80.69,39.85,30.44,25.37,69.09,6.23,159.46,coffee
113.56,52.14,19.47,25.3,75.51,6.24,74.8,cotton
78.13,48.35,19.41,21.61,66.19,5.81,69.1,maize
13.07,64.16,18.73,19.82,67.98,6.56,47.62,lentil
32.69,56.56,16.47,15.08,24.31,5.95,72.08,kidneybeans
25.29,26.37,37.19,18.57,86.93,6.95,116.35,pomegranate
58.38,64.46,52.76,34.24,93.99,6.6,109.2,papaya
96.53,50.34,40.02,25.59,84.75,6.55,275.5,rice
24.78,60.86,17.2,36.24,54.65,6.17,135.74,pigeonpeas
97.12,24.53,50.5,29.46,90.65,6.72,21.64,muskmelon
37.28,40.7,23.21,29.72,76.17,7.43,46.17,mungbean
24.86,65.55,19.11,24.08,25.14,6.11,87.84,kidneybeans
71.07,50.73,24.12,19.9,67.46,6.76,96.66,maize
91.48,45.03,43.81,26.07,86.45,6.82,160.92,jute
36.97,69.29,20.17,19.3,21.17,5.93,129.65,kidneybeans
35.32,68.63,94.69,24.37,15.65,6.33,65.27,chickpea
118.85,61.29,19.44,23.42,83.96,6.79,68.2,cotton
26.69,58.39,15.16,30.55,31.2,9.2,64.8,mothbeans
24.95,143.83,204.06,20.21,94.53,5.98,113.81,apple
65.64,49.73,50.48,23.5,93.82,6.58,177.63,papaya
11.47,15.73,45.81,21.18,88.02,6.38,134.18,pomegranate
116.22,52.06,22.91,25.49,84.96,5.52,77.76,cotton
20.78,26.88,28.64,33.41,58.52,4.91,75.26,mango
24.15,127.35,204.64,17.19,86.68,6.4,61.16,grapes
33.08,29.92,28.37,29.63,46.83,5.77,83.41,mango
97.97,27.33,27.99,23.79,50.95,6.29,179.1,coffee
98.73,36.55,30.04,26.42,61.76,7.26,164.23,coffee
127.14,52.48,20.53,26.3,76.02,6.02,86.91,cotton
14.48,43.05,18.61,27.27,50.39,3.86,40.87,mothbeans
32.02,17.87,33.14,28.61,96.15,5.73,213.59,coconut
31.06,10.68,25.04,26.71,99.69,6.54,170.13,coconut
11.4,15.81,33.27,25.12,96.75,6.9,153.69,coconut
25.51,134.43,207.46,24.32,91.86,5.71,123.25,apple
18.14,28.69,16.6,11.47,93.65,6.66,113.07,orange
34.1,37.43,30.18,31.56,45.46,6.7,60.52,mango
33.91,29.76,25.97,32.48,55.54,6.48,85.16,mango
19.2,16.88,16.23,27.71,93.12,7.29,114.28,orange
100.87,72.23,46.92,29.2,82.25,6.39,105.28,banana
30.75,141.14,195.94,21.77,94.53,6.4,129.29,apple
32.09,130.0,191.34,17.91,85.96,5.77,61.59,grapes
48.39,79.59,15.5,25.97,67.2,6.78,65.53,blackgram
38.88,68.06,18.0,15.77,23.01,6.29,123.64,kidneybeans
12.1,133.72,193.46,23.61,80.62,5.77,75.37,grapes
137.11,42.72,17.7,24.06,77.43,5.69,102.87,cotton
12.58,73.0,16.01,25.48,63.56,6.68,49.35,lentil
106.7,70.38,53.72,27.23,78.43,5.64,147.13,banana
17.0,53.76,22.47,25.75,31.8,4.34,55.15,mothbeans
26.26,136.17,209.06,23.97,90.2,5.83,114.12,apple
63.5,53.92,40.04,25.63,88.53,6.05,188.67,jute
27.59,79.14,18.42,22.06,60.07,6.52,73.02,lentil
103.02,18.08,31.9,26.66,50.86,7.01,170.73,coffee
15.13,15.65,9.68,29.33,92.37,6.7,107.22,orange
12.88,73.97,20.01,28.94,61.47,6.47,49.32,lentil
56.35,74.01,21.76,28.01,61.84,7.26,74.22,blackgram
88.45,79.4,46.79,29.51,78.97,5.75,148.29,banana
22.53,69.96,17.97,18.0,25.43,5.55,141.26,kidneybeans
28.68,10.3,33.9,21.44,94.51,6.38,116.97,pomegranate
90.29,38.1,37.31,24.97,73.4,6.74,173.57,jute
69.95,46.79,45.44,27.56,94.86,6.98,184.08,papaya
23.52,76.47,24.63,25.54,61.84,5.66,72.51,lentil
35.5,29.9,30.08,26.73,91.86,5.51,180.91,coconut
16.79,65.24,18.11,21.77,24.06,5.86,79.61,kidneybeans
39.02,59.92,24.51,24.95,25.12,6.48,111.26,kidneybeans
35.48,36.35,22.34,26.73,44.36,9.44,48.3,mothbeans
67.02,69.73,53.74,43.95,91.22,6.84,221.07,papaya
55.8,73.07,76.35,22.08,23.15,6.16,78.33,chickpea
85.96,25.25,46.57,29.37,68.85,6.11,49.36,watermelon
12.17,38.85,27.23,36.22,51.39,6.96,82.16,mango
29.9,25.21,27.8,34.31,48.63,4.93,81.19,mango
77.39,38.62,23.19,25.19,68.89,6.04,89.51,maize
95.34,74.57,51.67,26.42,80.86,6.09,147.94,banana
67.27,40.5,38.04,23.67,81.48,5.94,253.42,rice
12.44,64.78,16.56,31.91,59.32,8.58,56.49,mothbeans
36.31,138.91,202.21,21.82,91.05,6.28,114.59,apple
25.75,71.82,17.75,18.06,25.89,5.95,131.85,kidneybeans
15.3,71.8,15.52,19.36,60.04,7.0,72.09,lentil
37.57,73.88,84.21,23.42,25.93,7.55,86.25,chickpea
15.11,59.17,22.13,21.66,27.66,6.26,145.57,kidneybeans
137.11,37.83,18.71,25.54,77.26,6.48,68.21,cotton
21.78,69.94,23.66,35.99,34.24,4.96,193.92,pigeonpeas
35.64,63.88,90.68,20.54,15.08,7.52,61.41,chickpea
48.59,71.26,78.04,15.61,26.71,6.92,62.33,chickpea
107.11,22.3,50.25,29.39,89.48,6.78,27.9,muskmelon
33.31,140.54,194.31,17.1,84.83,6.01,76.58,grapes
19.06,78.64,21.77,21.62,61.88,5.96,43.72,lentil
20.56,144.99,193.43,23.86,91.12,5.58,126.25,apple
39.08,46.34,15.62,28.7,82.59,6.24,56.45,mungbean
16.37,79.33,17.26,23.78,42.16,5.19,90.16,pigeonpeas
56.3,79.91,82.37,19.49,25.83,7.77,83.72,chickpea
109.66,49.71,15.74,22.17,79.69,6.1,66.84,cotton
46.06,60.38,75.24,17.41,29.64,7.6,98.38,chickpea
32.34,74.28,21.55,20.88,65.04,6.12,121.07,pigeonpeas
23.68,111.05,197.94,29.28,89.53,6.02,76.38,grapes
38.87,123.21,203.95,22.53,90.13,6.42,125.56,apple
32.16,56.74,16.75,23.56,20.27,6.34,85.13,kidneybeans
54.33,76.12,18.6,31.87,63.13,6.56,81.05,blackgram
36.23,59.23,24.77,33.53,64.98,7.1,66.82,blackgram
15.63,75.97,15.11,31.37,68.81,5.81,115.85,pigeonpeas
94.67,34.02,29.85,24.01,52.49,6.52,156.88,coffee
26.6,65.39,17.58,28.4,66.69,6.17,59.52,lentil
101.07,37.76,21.86,24.14,83.65,6.54,60.41,cotton
35.1,11.22,15.81,26.7,92.15,6.88,101.31,orange
23.49,35.11,41.45,24.99,87.87,6.28,106.39,pomegranate
22.99,22.57,9.57,25.25,93.63,6.63,116.58,orange
28.24,128.04,191.5,24.48,94.01,5.64,123.3,apple
33.18,42.11,21.77,28.53,57.87,5.98,41.65,mothbeans
89.13,24.55,31.54,23.38,62.07,7.4,192.52,coffee
13.48,63.44,15.18,22.8,65.5,6.43,66.54,lentil
79.22,33.67,17.42,26.88,57.85,6.5,90.91,maize
62.69,50.38,18.46,23.59,55.91,7.24,108.67,maize
11.16,15.82,40.73,24.54,93.35,6.84,112.13,pomegranate
109.55,36.33,53.95,30.3,88.45,6.89,24.37,muskmelon
92.59,32.8,23.95,22.93,71.35,6.4,92.18,maize
29.32,46.43,15.55,30.0,88.54,6.57,45.41,mungbean
85.07,37.21,36.9,24.69,71.56,6.29,195.56,jute
75.85,56.54,21.96,19.39,71.32,5.95,71.19,maize
11.26,59.68,15.32,26.92,67.23,5.7,73.44,lentil
52.37,60.06,94.16,18.68,19.9,6.3,72.22,chickpea
22.98,52.87,15.81,31.7,86.33,6.88,60.71,mungbean
15.21,14.33,29.18,26.5,96.57,6.88,170.06,coconut
36.92,15.97,27.34,27.06,97.16,5.66,157.05,coconut
101.04,37.7,17.87,26.86,80.59,6.06,104.44,cotton
27.42,62.11,16.34,21.3,18.54,6.25,88.58,kidneybeans
36.84,60.3,87.22,19.11,27.6,7.8,74.14,chickpea
10.0,56.36,18.57,26.04,30.39,6.96,61.28,mothbeans
90.3,28.6,32.4,26.03,57.84,6.18,189.04,coffee
26.82,64.61,18.47,29.32,67.82,6.98,83.82,blackgram
117.84,44.26,21.07,22.93,81.27,5.76,63.19,cotton
67.01,62.0,19.19,21.45,65.38,5.59,68.31,maize
10.02,61.12,22.93,29.02,52.51,4.47,51.46,mothbeans
11.68,79.61,21.66,21.42,65.86,5.66,78.63,lentil
18.03,65.47,22.51,15.71,18.8,5.85,144.76,kidneybeans
84.5,98.02,46.84,26.26,79.07,5.88,193.31,banana
101.67,15.71,49.42,24.57,59.74,6.74,47.73,watermelon
35.36,128.39,203.83,37.08,84.96,5.81,75.07,grapes
21.62,78.22,19.97,28.12,64.46,6.56,69.27,lentil
39.0,77.45,20.25,32.07,62.52,6.95,63.7,blackgram
69.97,47.31,42.56,21.6,76.15,5.93,199.35,rice
32.47,18.17,32.35,19.76,94.21,6.58,121.34,pomegranate
37.92,15.13,32.48,36.03,47.1,4.74,76.98,mango
29.7,25.93,28.73,29.37,92.13,5.99,145.07,coconut
130.61,61.87,22.9,22.98,81.0,6.0,60.46,cotton
12.51,41.33,22.52,24.41,44.78,6.33,48.36,mothbeans
39.3,54.37,24.35,28.52,86.73,7.15,57.29,mungbean
27.03,76.59,19.07,27.15,61.44,5.51,40.8,lentil
31.75,125.26,202.6,23.51,83.01,6.08,69.96,grapes
18.57,72.3,17.06,25.45,65.83,5.11,145.86,pigeonpeas
93.17,71.27,49.96,27.72,76.68,6.26,218.04,banana
80.79,41.8,23.29,21.88,59.97,6.73,95.34,maize
97.78,77.69,46.9,28.35,75.0,6.31,100.3,banana
93.35,39.99,53.35,31.47,93.23,6.1,23.41,muskmelon
11.62,128.08,200.09,18.74,81.04,5.62,62.02,grapes
22.78,60.89,22.14,28.48,61.27,6.8,63.74,lentil
102.97,23.24,52.16,27.09,55.28,6.63,59.52,watermelon
106.78,99.12,46.76,27.99,79.24,5.95,123.04,banana
28.94,136.28,193.08,23.23,90.91,6.25,110.17,apple
32.08,22.53,29.63,32.99,47.57,6.35,72.11,mango
19.71,54.95,20.57,26.74,34.04,4.1,60.79,mothbeans
111.14,73.93,51.01,25.17,79.98,5.65,113.78,banana
29.69,14.63,25.91,33.75,94.03,6.76,115.77,orange
18.78,13.06,15.95,17.69,94.92,7.63,103.29,orange
31.89,144.01,195.07,24.37,94.62,6.17,127.94,apple
63.28,47.95,43.28,25.37,86.59,7.09,160.47,jute
15.44,32.8,28.85,31.02,56.75,6.91,65.07,mango
81.25,51.22,41.37,25.08,89.64,6.27,218.75,rice
36.55,117.75,199.27,26.76,88.74,6.26,70.26,grapes
41.75,65.32,88.91,15.03,24.29,6.71,91.77,chickpea
38.89,63.07,47.68,40.22,94.98,6.08,144.07,papaya
92.39,38.91,21.82,24.84,66.91,6.44,80.59,maize
103.13,29.84,49.09,31.48,86.63,7.0,21.78,muskmelon
48.71,59.73,47.76,26.68,93.87,6.95,62.1,papaya
62.93,37.68,41.52,25.43,85.81,7.37,169.42,jute
84.97,34.09,24.4,23.65,61.7,5.78,99.7,maize
17.51,143.3,197.49,20.4,91.94,6.1,115.41,apple
25.05,58.84,20.73,23.26,66.85,6.25,155.21,pigeonpeas
80.87,20.83,32.57,25.93,65.65,7.12,152.53,coffee
19.32,128.94,195.81,23.07,94.51,6.46,119.61,apple
22.79,28.49,29.29,26.79,94.41,6.28,193.2,coconut
10.28,69.17,24.32,25.99,68.23,5.52,61.68,lentil
32.33,30.49,33.03,31.32,56.79,5.66,97.64,mango
91.17,31.62,50.55,29.11,90.66,6.37,34.04,muskmelon
65.16,48.7,37.72,24.76,71.89,6.64,199.16,jute
105.73,51.74,16.85,22.19,75.36,6.75,89.57,cotton
13.52,22.24,15.22,15.15,92.01,6.15,113.91,orange
36.45,38.26,44.79,18.61,91.69,6.41,118.83,pomegranate
42.03,58.83,22.28,31.0,67.31,7.27,89.26,blackgram
87.39,39.88,44.11,25.76,89.25,6.59,253.61,rice
18.6,59.08,24.97,24.24,56.92,7.48,64.33,mothbeans
106.93,38.4,48.97,28.09,88.74,6.33,22.64,muskmelon
89.91,27.86,53.72,24.38,59.64,6.16,53.91,watermelon
17.53,78.08,20.45,21.24,67.02,6.49,79.57,lentil
21.74,59.77,21.95,22.16,53.81,5.29,162.82,pigeonpeas
35.61,118.47,207.53,15.48,87.32,6.43,73.14,grapes
14.41,45.28,23.65,25.24,32.48,6.6,47.56,mothbeans
36.44,12.34,44.14,24.44,87.71,6.37,122.76,pomegranate
93.4,63.08,44.89,24.98,89.82,6.23,162.68,jute
90.45,15.38,51.47,27.71,62.38,6.43,59.12,watermelon
99.55,31.11,34.18,24.91,65.3,6.9,196.35,coffee
74.86,40.85,36.14,26.7,85.4,7.45,188.67,jute
26.85,130.36,206.84,21.15,90.03,6.15,106.07,apple
80.87,51.18,40.18,23.04,70.03,6.15,155.08,jute
33.7,25.45,12.26,18.49,94.68,6.33,100.84,orange
17.01,21.59,25.38,28.23,59.8,5.29,64.61,mango
31.07,72.35,20.13,18.05,20.13,5.53,87.36,kidneybeans
83.17,29.94,47.86,25.59,73.41,6.02,48.76,watermelon
37.99,79.83,15.45,32.46,44.87,5.68,172.97,pigeonpeas
133.37,44.13,19.69,26.37,75.53,6.83,70.96,cotton
11.57,5.26,5.55,10.21,90.55,6.48,104.42,orange
86.44,25.5,52.36,28.45,73.23,6.38,49.27,watermelon
93.54,21.53,49.32,31.9,85.89,6.92,27.2,muskmelon
108.01,38.4,23.43,23.29,77.85,6.94,78.95,cotton
36.04,66.78,24.79,21.34,19.26,6.18,89.26,kidneybeans
47.83,67.42,94.76,16.36,25.43,6.81,77.13,chickpea
59.32,71.07,22.18,34.77,63.77,7.3,73.04,blackgram
16.53,63.74,20.96,21.29,60.27,6.6,65.03,lentil
87.55,61.85,41.99,26.68,75.81,6.46,189.15,jute
19.62,12.81,38.54,18.9,94.48,6.48,112.69,pomegranate
84.2,25.39,47.42,27.92,85.65,6.76,26.41,muskmelon
12.15,7.36,30.83,25.26,93.37,6.63,159.43,coconut
99.08,89.27,45.38,28.11,82.78,6.0,136.48,banana
108.16,11.62,45.12,30.31,87.89,6.25,24.96,muskmelon
93.37,94.54,45.38,29.35,80.13,5.9,154.63,banana
73.59,55.37,15.65,20.84,65.79,7.08,75.94,maize
19.86,66.8,19.9,28.16,68.32,6.11,53.33,lentil
20.45,134.86,197.28,35.83,84.54,6.22,62.15,grapes
113.95,27.79,32.07,23.96,63.77,6.41,191.6,coffee
34.54,60.63,80.02,23.51,23.42,7.05,64.59,chickpea
15.37,46.77,24.48,27.71,86.45,6.16,64.53,mungbean
13.94,57.44,16.67,29.08,68.21,6.03,66.23,lentil
49.76,77.98,19.24,28.42,69.62,6.94,74.67,blackgram
103.21,97.12,48.2,28.35,76.88,6.12,133.74,banana
71.56,39.22,36.57,26.2,87.46,6.61,158.48,jute
39.9,33.77,31.45,30.55,45.74,4.58,82.17,mango
34.73,46.91,16.56,29.9,40.81,7.8,46.77,mothbeans
35.34,47.94,18.79,31.32,37.54,8.9,52.1,mothbeans
101.29,38.52,47.45,29.97,63.02,6.27,55.53,watermelon
28.23,73.54,20.47,33.84,65.54,7.03,65.86,blackgram
28.83,14.39,8.53,27.73,94.27,7.37,100.36,orange
92.55,23.23,51.34,30.2,50.84,6.59,43.73,watermelon
25.7,128.27,191.81,22.81,92.4,5.6,118.37,apple
30.24,129.2,198.31,24.16,91.55,6.44,105.39,apple
88.02,37.22,28.22,23.07,66.87,7.41,182.78,coffee
47.67,71.53,15.38,28.68,69.79,6.92,75.06,blackgram
101.54,32.28,45.51,25.77,56.86,6.55,42.89,watermelon
114.45,60.86,19.24,26.58,79.98,6.1,97.52,cotton
71.48,51.59,24.81,23.69,60.2,6.77,87.0,maize
58.8,76.63,21.01,32.01,62.85,7.13,73.67,blackgram
14.01,111.68,205.51,29.27,87.61,5.65,71.44,grapes
57.19,61.24,80.44,22.59,21.75,7.55,62.61,chickpea
16.6,119.87,198.87,19.28,88.73,6.2,61.7,grapes
15.17,20.03,32.12,26.59,95.4,6.54,172.13,coconut
99.04,99.75,52.7,26.05,80.01,5.73,143.24,banana
18.9,37.32,16.7,27.63,76.85,6.78,46.15,mungbean
13.85,52.35,21.93,29.6,52.6,9.09,52.5,mothbeans
130.19,63.0,17.2,26.18,81.9,6.8,99.85,cotton
32.56,62.45,16.05,22.82,24.44,5.55,92.4,kidneybeans
120.59,36.92,18.56,25.01,80.56,6.11,81.45,cotton
83.19,24.76,52.68,25.77,56.74,6.24,59.83,watermelon
11.99,28.83,27.82,26.91,90.92,5.67,202.67,coconut
12.93,110.52,193.22,39.9,81.8,6.0,76.97,grapes
32.75,121.2,198.16,23.53,91.13,6.3,118.92,apple
63.59,52.51,46.5,27.75,92.34,6.42,103.56,papaya
81.71,43.6,40.91,20.21,75.56,6.73,223.22,rice
98.71,10.17,46.86,24.8,59.08,6.5,40.87,watermelon
119.78,15.3,30.41,25.87,68.28,6.76,177.19,coffee
